1, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.01, climb = -0.01
2, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.01, climb = -0.01
3, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.02, climb = 0
4, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.02, climb = 0
5, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.06, climb = 0
6, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.09, climb = 0.01
7, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.09, climb = 0.01
8, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.08, climb = 0.01
9, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.06, climb = 0
10, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.06, climb = 0
11, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.03, climb = 0
14, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.03, climb = 0
15, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.04, climb = 0
16, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.05, climb = 0.01
19, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.03, climb = 0
20, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.06, climb = 0.01
21, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.06, climb = 0.01
22, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.08, climb = 0.01
23, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.09, climb = 0.02
24, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.09, climb = 0.02
25, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.11, climb = 0.02
26, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.11, climb = 0.02
27, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.11, climb = 0.02
28, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.09, climb = 0.02
32, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.09, climb = 0.02
33, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.09, climb = 0.02
34, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.08, climb = 0.02
35, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.13, climb = 0.03
36, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.13, climb = 0.02
37, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.12, climb = 0.02
38, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.11, climb = 0.02
42, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.12, climb = 0.02
43, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.14, climb = 0.02
44, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.14, climb = 0.02
45, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.13, climb = 0.02
46, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.15, climb = 0.02
47, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.15, climb = 0.02
48, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.17, climb = 0.02
49, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.19, climb = 0.03
50, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.19, climb = 0.03
51, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.22, climb = 0.02
52, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.21, climb = 0.01
53, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.21, climb = 0.01
54, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.21, climb = 0.01
